english term	urdu equivalent
precisely: more precisely	یہ کہنا زیادہ درست ہو گا کہ
precisely one	واحد ایک
precision	حتمیت؛ اس کی قیمت نہایت پرکھیت کے ساتھ حاصل کی گئی ہے
predict, prediction	پیشنگوئی
Predictor-corrector method	پیش گو، مصحح ترکیب
prefix	سابقہ، سابقہ لگانا
prescribed	معینہ
prescription	طرز عمل
preset, clear	زبر دستی بلند، زبر دستی پست
pressure: atmospheric pressure	زمینی ہوائی دباو
pressure: one atmospheric	ایک کرہ ہوائی دباو
pretend	ڈھونگ رچانا
presumably not know	غالباً نہیں جانتے
price	نرخ
primary, secondary side	ابتدائی جانب، ثانوی جانب
prime factor, prime factors	جزو مفرد، اجزاء مفرد
prime mover	اصل محرک
prime number	عدد مفرد
primitive model	سادہ نمونہ، تاریخی نمونہ
principal axis, principal part	صدر محور، صدر حصہ
principal quantum number	صدر کوانٹم عدد
principal value, principal unit normal vector	صدر قیمت، صدر اکائی عمودی سمتیہ
principle	صدر قیمت، صدر اکائی عمودی سمتیہ
priori	قبل از وقت
prism	منشور
prism: temporal prism	وقتی منشور
probable	محتمِل
probabilities	احتملات
probability: conditional probability	مشروط احتمال
probability current	رو احتمال
probability density	کثافت احتمال
probability distribution	تقسیم احتمال
probability function	تفاعل احتمال
probability; probability theory	احتمال، نظریہ احتمال
probabilistically	احتمالاً
problem: dirichlet problem	معمہ: معمہ ڈرشلے
procedure	حکمت عملی، طریقہ کار
process	عمل، ترکیب
producer	پیداکار
production; power production, current production,voltage production	پیداوار، پیداوار طاقت، پیداوار رو، پیداوار دباو
production process	عمل پیداوار
professor	پروفیسر
program	لائحہ کار
program, programmer, programming	برنامہ، برنامہ نوایس، برنامہ نویسی
programmable: (reconfigurable, writable) CPLDs, FPGAs	قابلِ تشکیل
progression: arithmetic progression (matric)	حسابی تصاعد
projected area	ضلی رقبہ (میٹرک)
projection	عمودی سایہ
projection operator	عامل تظلیل
projectile, projectile motion	گولا، حرکت گولا
promise: as promised	جسا کہ وعدہ تھا
propagation: propagation of waves	موجوں کی اشاعت
Propagation constant, attenuation constant &  phase constant of waves	حرکی مستقل، تضعیفی مستقل اور زاویائی مستقل
propagation delay (gates DLD)	دورانیہ ردِ عمل
propagator [quantum mech, feynman diagrams]	اشاعت کار
propeller (of plane)	پنکھا
proper and improper fraction	واجب، غیر واجب کسر matric
proper integral, improper integral (having infinite interval)	مناسب تکمل، غیر مناسب تکمل
property, properties	خاصیت، خواص
proportion	تناسب
proportional directly	 راست متناسب، تغیر راست
proportion: direct, inverse	تغیر راست، تغیر معکوس
proportional indirectly: reciprocal	بالعکس متناسب
proportionality constant	تناسبی مستقل
prove	ثابت کرنا
provided that	بشرطیکہ
pseudo	مجازی
pulley	چرخا
pulse	دھڑکن
pulse	مستطیلی پتلا اشارہ
pure imaginary	خالص خیالی، خالص تخیلی
purpose (english)	مقصد، مقاصد
pyramid	اہرام
pythagorous theorem	مسئلہ فیثاغورث
quadratic equation	دو درجی الجبرائی مساوات
quadrant, quadrants	ربع اول، ربع دوم، ربع سوم، ربع چہارم، ربعات
quadrature power (electric circuits)	تربیعی طاقت
quadric surfaces	مربع سطحیں
quadrilateral	چار الاضلاع، چار ضلعی
qualitative assessment	کیفی تجزیہ
quality control	ضبط معیار
quality factor Q (resonator)	معیاری مستقل
quality: acceptable quality level, rejectable quality level	سطح قابل قبول معیار، سطح قابل مسترد معیار
quality: average outgoing quality	اوسط خارجی معیار
quality:average outgoing quality limit	اوسط خارجی حد معیار
quantitative assesment	مقداری تجزیہ
quantum dots	کوانٹم نقطے
quantization: flux quantization	کونٹازنی بہاو
quantum mechanical: particle theory	ذراتی نظریہ: کوانٹم نظریہ
quark, quarks, antiquark	کوارک، کوارکے، ضد کوارک
Quarter-wave matching (transmission lines)	چوتھائی طول موج کی ترکیب، چوتھائی طول موج سے ہم رکاوٹ بنانا
quartic	چو درجی
quartz	کوارٹز، سنگ مردہ
quasilinear	بظاہر خطی
Quotient (maths)	حاصل تقسیم، خارج قاسم
Rabi frequency	رابی تعدد
radar	ریڈار
radial equation	رداسی مساوات
radial segment, segments	رداسی قطعہ، قطعات
radian	ریڈیئن
radiation (noun), [radiation (verb)], {emission}	اشعاع، [شعاع ریزی]، {اخراج}
radiation (from antenna)	اشعاعی اخراج، شعاعی اخراج
radiation intensity (antenna)	اخراجی شدت، اشعاعی شدت
radiation resistance (antenna)	اخراجی مزاحمت، اشعاعی مزاحمت
radiation(nuclear)	تابکاری
radiation: solar radiation	شمسی اخراج،شمسی اشعاع
radiation zone	خطہ اشعاعی، اشعاعی خطہ
radicand	زیر جذر (رقم)
radioactive decay, radioactive	تابکاری تحلیل، تابکار؛ تابکاری تنزل، تابکار
radio frequency	ریڈیائی تعدد
radium, radon, polonium	ریڈیم، ریڈان،پولونیم
radius	رداس
RAM: volatile memory	عارضہ حافظہ
Ramsauer-Townsend effect	رمزاور و ٹاونسنڈ اثر
random; drawn at random	بلا منصوبہ
random number generator	پیدا کار بلا منصوبہ اعداد
Range (of domain)	سعت
range: wide range, narrow range	وسیع حد، محدود حد
range finder	فاصلہ پیما
range (of helicopter)	پہنچ
range of projectile	گولے کا فاصلہ مار
range of values	قیمتوں کا سعت
rank	درجہ قالب، درجہ
rare	نایاب، شاز
rarefaction	پھیلاؤ کی موج
rated power, rated voltage, rated current	 کُل طاقت، کُل برقی دباؤ، کُل برقی رو
rate constant	شرحی مستقل
rating	سکت
ratio	نسبت
Rational , irrational number	ناطق، غیر ناطق عدد
rational function, irrational function	معقول تفاعل، غیر معقول تفاعل
ray	شعاع
Rayleigh equation; (John William Strut)	ریلے مساوات؛ جان ولیم سٹرٹ
Reactance X, reactive	متعاملیت، متعاملی
reactance: inductive, capacitive	امالی متعاملیت، برق گیر متعاملیت
reactance coil	متعامل لچھا، متعاملہ
reactive power: quadrature power 	متعاملی طاقت: تربیعی طاقت
reaction	رد عمل
real: (read complex number above)	حقیقی
real time, real time computing	فوری، فوری حساب
realist	حقیقت پسند
reality	حقیقیت
rearrangement	ردوبدل
receiver	وصول کنندہ
receiving antenna	وصولی اینٹینا
reciprocal	بالعکس متناسب، باہمی، باہم
reciprocal rule	قاعدہ بالعکس متناسب
recoil	اچھلنا
record, [recorded]	قلم بند، [کشف کیے گئے]
rectangular form: of writing complex numbers=3+j2	مستطیلی طرز
rectangular wave	مستطیل موج
rectifiable (curve, maths)	قابل تصحیح
rectifier, half wave and full wave	نصف لہر سمت کار، مکمل لہر سمت کار
rectify (to correct the situation)	سدھارنا
rectilinear motion	مستقیم حرکت
recursion formula	کلیہ توالی
recursion: Osian Bonnet's recursion	اوسیاں بونٹ
recursive definition	تکراری تعریف
reduce: the equation reduces to give …	مساوات گھٹ کر ۔۔۔
reduce, reducible, irreducible	تخفیف، قابل تخفیف، ناقابل تخفیف
reduced (maths: order of diff equation)	تخفیف شدہ
reduction by integrating factor (to exact form)	تخفیف بذریعہ جزو تکمل
reference frame, frame of reference	حوالہ چھوکٹ
reference, reference point	حوالہ، علامت حوالہ، حوالہ نقطہ
reference standard	حوالہ معیار
reflected wave	انعکاسی موج
reflection	انعکاس
reflection coefficient, transmission coefficient	شرح انعکاس، انعکاسی مستقل، ترسیلی مستقل
reflector	عاکس
refraction	انعطاف
refractive index	انعطافی مستقل
refraction law: ibn Sahl's law of refraction	ابن سھل کا قانون انعطاف
refrigerator	سرد خانہ
regardless	قطع نظر
regime	طریق
region	خطہ، دائرہ عمل
region: rejection, acceptance, critical	خطہ منظوری، خطہ نا منظوری، خطہ فاصل
register	رجسٹر، کھاتا
Register: shift left, shift right	دائیں منتقل، بائیں منتقل کھاتا  
Regression, regression analysis, regression line	 رجعت، رجعی تجزیہ، خط رجعت
regular distance (english)	برابر وقفوں پر
regular	منظم
regular singularity, irregular singularity	منظم نادر نقطہ، غیر منظم نادر نقطہ
regular point (maths)	منظم نقطہ
reject, not reject	نا منظور، منظور
rejection region	خطہ نا منظوری
relative	متعلقہ، نسبتا
relative density, relative error, relative frequency	کثافتِ اضافی، اضافی غلطی، اضافی ارتعاش
relative frequency, relative humidity	اضافی ارتعاش، اضافی رطُوبت
relative magnitudes, relative motion	اضافی مقادیر، اضافی حرکت، اضافی رفتار
relative position, relative rank,	اوضاع اضافیہ، اضافی عہدہ
relativity: special theory of relativity	خصوصی نظریہ اضافت
relativistic	اضافیتی
relativistic correction	اضافیتی تصحیح
relaxation method	ترکیب ڈھیل
reluctance	 ہچکچاہٹ
remainder (series), remainder term	باقی، جزو باقی
remainder estimation theorem	مسئلہ اندازہ باقی
remark	رائے زنی، رائے
remarkable	قابل ذکر
remote temperature sensor (antenna)	بعید پیما حرارت
repair	مرمت
repeat, repeated term	دہرانا، دہرا جزو
representation	روپ، اظہار
represent, representation	پیش کرنا، ظاہر کرنا، اظہار، روپ، بیان
representation of equation	مساوات کا روپ
representative rectangle	نمائندہ مستطیل
repulsion: force of repulsion	قوت دفع، دافع قوت
repulsive energy	دافع توانائی
repulsive force	دافع قوت
residual flux	بقایا بہاو
residual temperature (big bang)	بقیہ حرارت
residue (residue integrals)	بقیہ
resistance, AC, DC	یک سمت رو مزاحمت، بدلتا رو مزاحمت
Resistance R, conductance G=1/R	مزاحمت، ایصالیت
resistance: radiation resistance (antenna)	اخراجی مزاحمت
resistivity	قوتِ مزاحمت، مزاحمتی مستقل
resolve	تحلیل کرنا
resonance	گمک
resonant circuit, resonant frequency	گمکی دور، گمکی تعدد
resonance factor (maths)	گمکی جزو
resonance: nuclear magnetic resonance	مرکزوی مقناطیسی گمک
resonator	گمکیا
respective	متعلقہ
response	ردِ عمل
response time	رد عمل کے اظہار میں خرچ ہونے والا وقت
restoring force	بحال کن قوت، بحالی قوت
restrict: to restrict	پابند بنانا
restrictive	امتناعی
restricted, unrestricted	پابند، غیر پابند، پابند شدہ
result	نتیجہ
resultant	ما حصل
retarded potentials	تاخیری دباو
retina	پردہ بصارت، آنکھ پردہ
reveal	آشکار کرنا
revenue, profit, cost, interest	آمدنی، منافع، لاگت، ربا یا سود
